symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
BOOT,"Boot Barn Holdings, Inc.",United States,NYQ,USD,,30483634.0,30362309.0,5682734592.0
PDYN,Palladyne AI Corp.,United States,NGM,USD,,44709423.0,30362360.0,201192416.0
PDYNW,Palladyne AI Corp.,United States,NGM,USD,,,30362360.0,
HHH,Howard Hughes Holdings Inc.,United States,NYQ,USD,,59390960.0,30368841.0,4686574592.0
KALV,"KalVista Pharmaceuticals, Inc.",United States,NGM,USD,,50546293.0,30381355.0,766787264.0
BKE,"The Buckle, Inc.",United States,NYQ,USD,,51156626.0,30406953.0,2777804800.0
RAPP,"Rapport Therapeutics, Inc.",United States,NGM,USD,,47661138.0,30432590.0,1439366400.0
MATX,"Matson, Inc.",United States,NYQ,USD,,31180035.0,30474431.0,3974581248.0
INOD,Innodata Inc.,United States,NGM,USD,,31860951.0,30502719.0,1673018496.0
NSIT,"Insight Enterprises, Inc.",United States,NMS,USD,,30979597.0,30509327.0,2598813440.0
GRBK,"Green Brick Partners, Inc.",United States,NYQ,USD,,43565098.0,30511252.0,2779889152.0
KELYB,"Kelly Services, Inc.",United States,NMS,USD,,3295941.0,30529367.0,299710112.0
KELYA,"Kelly Services, Inc.",United States,NMS,USD,,32043065.0,30529367.0,304268832.0
CCRN,"Cross Country Healthcare, Inc.",United States,NMS,USD,,32759952.0,30550621.0,262079616.0
MITT,"TPG Mortgage Investment Trust, Inc.",United States,NYQ,USD,,31744449.0,30595935.0,280303488.0
SLVM,Sylvamo Corporation,United States,NYQ,USD,,39438257.0,30616708.0,1977044096.0
QIPT,Quipt Home Medical Corp.,United States,NCM,USD,,44027472.0,30833759.0,155416976.0
BYSI,BeyondSpring Inc.,United States,NCM,USD,,41122320.0,30852623.0,75665072.0
ATNM,"Actinium Pharmaceuticals, Inc.",United States,ASE,USD,,31195891.0,30858663.0,47417756.0
FLNG,FLEX LNG Ltd.,Bermuda,NYQ,USD,,54087768.0,30890065.0,1326232064.0
